STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT06,WT08
USW00024131,"BOISE AIR TERMINAL, ID US",5/19/2021,13.65,,0,0,0,57,61,46,320,330,33.1,44.1,,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",5/20/2021,13.87,,0,0,0,51,63,40,300,290,23.9,32,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/21/2021,8.72,,0.03,0,0,50,55,42,300,290,21.9,28,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/22/2021,6.49,,0.45,0,0,49,57,42,110,120,21.9,25.9,1,,1,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/23/2021,5.82,,0,0,0,49,63,42,250,270,18.1,23.9,1,1,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/24/2021,7.83,,0.01,0,0,57,69,50,360,350,21,29.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/25/2021,5.82,,0.23,0,0,57,66,47,280,270,21.9,33.1,1,,1,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/26/2021,4.03,,0,0,0,55,71,48,310,280,13,19,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/27/2021,8.28,,0,0,0,65,82,52,150,150,17,25.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/28/2021,11.41,,0,0,0,64,70,51,310,300,19.9,27.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/29/2021,7.16,,0,0,0,60,77,46,320,290,15,19.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/30/2021,5.59,,0,0,0,66,83,48,310,340,16.1,21.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/31/2021,5.59,,0,0,0,70,87,53,310,320,16.1,25.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",6/1/2021,5.37,,0,0,0,74,90,57,310,330,15,21,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",6/2/2021,5.82,,0,0,0,78,96,63,310,280,14.1,21,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",6/3/2021,8.72,,0,0,0,83,103,64,270,270,25.1,36,,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",6/4/2021,7.61,,0,0,0,82,94,66,310,310,18.1,27.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",6/5/2021,13.65,,0,0,0,78,86,61,320,310,30,36.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",6/6/2021,9.62,,0,0,0,65,77,49,320,310,28,36,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",6/7/2021,7.38,,0,0,0,63,80,47,310,310,18.1,23.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",6/8/2021,8.5,,0,0,0,66,81,54,280,280,17,23,,,,,,
